OBJECTID_1	OBJECTID	Shape_Leng	ORIG_FID	MBG_Diameter	Shape_Length	Shape_Area	OBJECTID_12	IN_FID	NEAR_FID	NEAR_DIST	NEAR_RANK	OBJECTID_12_13	OBJECTID_12_13_14	Shape_Leng_1	ORIG_FID_1	RASTERVALU	X	Y
89	89	36.45995241	89	11.60565353	36.46053335	105.7879425	63	2	89	772276.9001	63	89	93	22.77749652	89	-1955	-5935483.5	1024091.125
90	90	57.9946791	90	18.46036646	57.99472964	267.6499659	98	2	90	772377.252	98	90	94	22.73329091	90	-1928	-5935579	1024115.5
91	91	21.67518856	91	6.89952328	21.67573515	37.38847982	389	2	91	772826.1202	389	91	95	17.89245635	91	-1890	-5936052.5	1024093.063
92	92	30.92292858	92	9.843149265	30.92301065	76.09457153	409	2	92	772851.3866	409	92	97	15.56654084	92	-1890	-5936082	1024083.5
93	93	8.463669513	93	2.694163359	8.46419404	5.701135431	414	2	93	772856.3909	414	93	98	20.76999778	93	-1890	-5936101.5	1024043.75
94	94	24.12505135	94	7.679309849	24.12508597	46.31566192	475	2	94	772932.5175	475	94	99	39.57955586	94	-1890	-5936179	1024056.438
95	95	21.34671458	95	6.794963092	21.34680792	36.26235629	460	2	95	772921.8621	460	95	100	16.35139461	95	-1890	-5936152.5	1024090.938
96	96	22.61364508	96	7.198231777	22.61419907	40.69607806	468	2	96	772927.1562	468	96	101	21.44491346	96	-1890	-5936156.5	1024097.5
97	97	45.92653358	97	14.61896403	45.9270972	167.852622	365	2	97	772796.3994	365	97	102	32.8471715	97	-1908	-5936046.5	1024034.625
98	98	27.66278109	98	11.13551759	34.98351915	97.39061897	362	2	98	772794.8679	362	98	103	11.16225858	98	-1890	-5936033.5	1024055.813
99	99	16.13146373	99	6.075227951	19.08580369	28.98751866	457	2	99	772918.5453	457	99	104	21.67828353	99	-1890	-5936169.5	1024041.813
100	100	28.23286304	100	10.10507085	31.74579376	80.19781148	444	2	100	772895.174	444	100	105	17.13108687	100	-1890	-5936140	1024052.375
101	101	41.10757728	101	16.81623329	52.82996454	222.1011332	445	2	101	772896.9599	445	101	107	16.51683528	101	-1890	-5936059.5	1024267.688
102	102	12.07929009	102	5.158927103	16.20716234	20.90278245	488	2	102	772945.395	488	102	108	19.55699659	102	-1890	-5936104.5	1024282.25
103	103	7.790295419	103	2.479823998	7.790324302	4.829489324	477	2	103	772934.2457	477	103	109	9.53842968	103	-1890	-5936089	1024290.375
104	104	15.77108281	104	5.020190379	15.77110928	19.79313642	467	2	104	772927.1179	467	104	110	15.88699977	104	-1890	-5936085.5	1024283.063
105	105	10.17184816	105	3.237866211	10.17184869	8.233602926	450	2	105	772907.9842	450	105	111	14.64572574	105	-1890	-5936073	1024263.5
106	106	19.05555233	106	7.899853906	24.8182678	49.01545845	456	2	106	772918.2946	456	106	112	16.404755	106	-1890	-5936087	1024254.313
107	107	13.11953271	107	4.176177325	13.11960508	13.69719569	506	2	107	772961.8028	506	107	113	20.97038604	107	-1890	-5936135	1024248.75
108	108	32.67340466	108	10.40034401	32.67350607	84.95356631	479	2	108	772935.2306	479	108	114	24.50096468	108	-1890	-5936095	1024277
109	109	142.2784916	109	60.25938795	189.3101742	2851.924645	453	2	109	772912.91	453	109	115	10.18009854	109	-1890	-5936082.5	1024248.125
110	110	70.63849434	110	30.02419173	94.32349199	707.994489	461	2	110	772921.9802	461	110	116	9.221453529	110	-1890	-5936093	1024245.938
111	111	28.24834507	111	10.6862282	33.57200157	89.69012011	448	2	111	772903.1027	448	111	117	7.979520429	111	-1890	-5936070	1024254
112	112	41.26622754	112	14.44725549	45.38721739	163.9295518	404	2	112	772846.4635	404	112	118	39.91048861	112	-1928	-5936011	1024268.313
113	113	29.62527467	113	13.40784235	42.12216014	141.1924277	393	2	113	772832.1813	393	113	119	24.8665986	113	-1928	-5935994.5	1024266.563
114	114	45.76370731	114	14.5671155	45.76420851	166.6640945	533	2	114	772981.0652	533	114	120	29.23971108	114	-1890	-5936127	1024322.25
115	115	78.01931706	115	28.16364607	88.47855886	622.9686851	545	2	115	772998.9082	545	115	121	16.63343167	115	-1890	-5936139.5	1024337.063
116	116	11.28484838	116	3.592160276	11.28491497	10.13413577	523	2	116	772973.3988	523	116	122	24.32449148	116	-1890	-5936114.5	1024334.813
117	117	8.921391969	117	2.839871971	8.921897036	6.334386368	574	2	117	773048.9402	574	117	123	24.0653017	117	-1890	-5936184.5	1024359.875
118	118	12.61678652	118	4.016135329	12.61690511	12.66764282	587	2	118	773069.1196	587	118	124	17.78331035	118	-1890	-5936204.5	1024357.375
